,date,open_BTC,high_BTC,low_BTC,close_BTC,open_ETH,high_ETH,low_ETH,close_ETH,open_LTC,high_LTC,low_LTC,close_LTC,open_NEO,high_NEO,low_NEO,close_NEO,open_BNB,high_BNB,low_BNB,close_BNB,open_XRP,high_XRP,low_XRP,close_XRP,open_LINK,high_LINK,low_LINK,close_LINK,open_EOS,high_EOS,low_EOS,close_EOS,open_TRX,high_TRX,low_TRX,close_TRX,open_ETC,high_ETC,low_ETC,close_ETC,open_XLM,high_XLM,low_XLM,close_XLM,open_ZEC,high_ZEC,low_ZEC,close_ZEC
601,2020-07-22 00:00:00,9390.0,9544.0,9261.0,9518.16,245.53,269.61,241.51,263.74,43.77,45.12,43.2,44.96,11.175,11.713,11.0,11.559,17.7268,18.1151,17.45,18.09,0.19946,0.20441,0.196,0.20348,7.309,7.62,7.084,7.479,2.6234,2.6662,2.5787,2.6574,0.01761,0.01797,0.01733,0.01794,6.1899,6.3926,6.0925,6.3569,0.09654,0.09803,0.09394,0.09738,62.41,64.77,60.83,64.28
600,2020-07-23 00:00:00,9518.16,9664.0,9440.33,9603.27,263.75,279.98,259.7,275.3,44.96,45.63,44.52,44.94,11.566,11.712,11.33,11.432,18.095,18.77,18.043,18.75,0.20351,0.21584,0.20142,0.20851,7.479,8.08,7.406,7.887,2.6575,2.6892,2.6242,2.6526,0.01792,0.01806,0.01773,0.01792,6.358,6.4915,6.3003,6.4402,0.09746,0.10143,0.09677,0.09815,64.27,65.0,62.84,63.51
599,2020-07-24 00:00:00,9603.27,9637.0,9463.44,9537.8,275.31,287.34,266.0,279.15,44.93,44.96,43.93,44.11,11.44,11.44,11.0,11.101,18.7508,19.55,18.235,19.1853,0.20847,0.20855,0.20189,0.20392,7.891,7.915,7.381,7.425,2.6531,2.6531,2.565,2.5949,0.01792,0.01827,0.01746,0.01794,6.4419,6.4446,6.2069,6.2548,0.0982,0.09824,0.0943,0.09576,63.5,64.72,61.65,63.01
598,2020-07-25 00:00:00,9538.1,9732.9,9513.0,9700.42,279.15,308.94,279.09,305.26,44.12,49.52,44.03,49.16,11.092,11.664,11.076,11.608,19.1878,20.0434,19.1451,19.8242,0.20393,0.21756,0.2035,0.21463,7.425,7.798,7.368,7.678,2.595,2.745,2.592,2.7289,0.01793,0.01883,0.0179,0.01877,6.2516,6.7267,6.2387,6.7067,0.09571,0.10148,0.09511,0.10085,63.01,66.09,62.86,65.69
597,2020-07-26 00:00:00,9700.42,10111.0,9650.0,9931.54,305.31,318.75,299.0,311.0,49.16,50.79,47.49,48.1,11.601,11.925,11.42,11.62,19.8196,20.49,19.2639,19.5557,0.21462,0.22499,0.21255,0.21532,7.68,7.95,7.064,7.499,2.7288,2.8016,2.6776,2.7121,0.01878,0.01937,0.01825,0.01852,6.7064,6.8868,6.3821,6.6358,0.10085,0.10588,0.0973,0.09902,65.7,67.26,63.76,66.15
596,2020-07-27 00:00:00,9931.54,11394.86,9917.21,11029.96,311.02,333.31,310.78,321.93,48.07,55.83,46.85,53.28,11.62,11.86,10.76,11.619,19.5524,20.1999,18.4,19.7474,0.21528,0.23,0.20861,0.22437,7.499,7.499,6.444,7.091,2.7117,2.9252,2.6075,2.8472,0.01852,0.01914,0.01758,0.01872,6.634,7.3555,6.6306,7.1167,0.09902,0.1,0.08799,0.09464,66.18,72.35,66.13,70.77
595,2020-07-28 00:00:00,11029.96,11242.23,10565.0,10906.27,321.95,326.8,305.86,316.77,53.29,57.92,51.65,55.75,11.629,12.05,11.301,11.738,19.7489,20.6834,19.4281,20.1732,0.22445,0.23476,0.217,0.23029,7.092,7.422,6.902,7.232,2.8465,3.0799,2.7719,2.9941,0.01871,0.0195,0.01817,0.01912,7.118,7.398,6.8173,7.2125,0.0947,0.09847,0.09331,0.09709,70.8,73.42,68.43,70.57
594,2020-07-29 00:00:00,10906.27,11342.82,10812.0,11100.53,316.77,325.0,312.38,317.71,55.76,56.97,54.65,55.16,11.734,12.267,11.605,11.67,20.1692,20.4091,19.7404,19.899,0.23031,0.25,0.22919,0.24327,7.235,7.465,6.979,7.083,2.9943,3.147,2.949,3.0233,0.01912,0.01997,0.01893,0.01915,7.2126,7.5457,7.1403,7.2644,0.09709,0.0997,0.09441,0.09498,70.6,74.4,70.15,72.13
593,2020-07-30 00:00:00,11100.52,11170.0,10831.0,11099.61,317.76,342.0,314.05,334.87,55.17,58.61,53.91,56.75,11.665,11.899,11.465,11.774,19.8926,20.0995,19.5111,19.97,0.24323,0.24954,0.233,0.24408,7.084,7.57,7.016,7.405,3.0231,3.0997,2.9553,3.047,0.01914,0.01939,0.01865,0.01917,7.2637,7.4756,7.0,7.3422,0.09498,0.0976,0.09417,0.09628,72.12,72.59,69.48,70.48
592,2020-07-31 00:00:00,11099.79,11444.0,10960.0,11335.46,334.82,349.45,328.4,346.33,56.73,59.26,55.78,58.13,11.775,12.722,11.579,12.245,19.97,20.855,19.9102,20.6615,0.24407,0.26042,0.24158,0.25939,7.402,7.847,7.402,7.793,3.047,3.1425,3.0101,3.0932,0.01917,0.01978,0.01895,0.01968,7.3461,7.5762,7.252,7.3976,0.09622,0.09708,0.09492,0.0969,70.51,74.95,70.3,74.9
